indice_tiempo,emae_desestacionalizada,emae_tendencia_ciclo,emae_original
2012-10-01,147.28915150222403,145.7799929183717,147.23130295530083
2012-11-01,147.01597936365394,146.33369652480928,146.37343184468628
2012-12-01,149.3489044281227,146.88757268020004,143.58505809958143
2013-01-01,145.7879991472071,147.40880371132127,136.5170718250443
2013-02-01,148.40057803677078,147.8698354124461,132.795321964955
2013-03-01,148.75144230355681,148.24912354666617,149.40394566736484
2013-04-01,148.02353248123063,148.53368433012233,155.94159584157654
2013-05-01,148.7550407769862,148.71697164184704,167.9734791225302
2013-06-01,149.10797627541118,148.79380877741278,156.2718644302407
2013-07-01,148.49731232373858,148.76116214528938,150.73100129825897
2013-08-01,149.8343565521223,148.62082563439557,148.42144953050052
2013-09-01,150.44550537080661,148.38036619456125,147.0048441881334
2013-10-01,149.20572350893738,148.04878319864997,148.6939593959755
2013-11-01,148.20452038165368,147.6369092501329,145.69589762827005
2013-12-01,147.01332312588067,147.1610692137272,142.5768791271264
2014-01-01,146.0351230217126,146.6415571048686,137.96969739537636
2014-02-01,146.56781534054298,146.10076732427703,132.48630687243056
2014-03-01,145.06755391089274,145.56584968892926,144.53782808347015
2014-04-01,144.93750292789244,145.0703944545299,152.34143546147138
2014-05-01,145.187772375548,144.64763766872474,164.2032439025611
2014-06-01,144.6582981935073,144.32761591966215,153.80352402990053
2014-07-01,144.20138729675898,144.13473719684268,145.4228137340859
2014-08-01,143.45481686013898,144.08820964944604,140.10530396605887
2014-09-01,143.61352857813426,144.19723334198213,141.71873319955728
2014-10-01,143.967475496554,144.46220340723082,143.34939741761292
2014-11-01,144.6244380950102,144.87159003496384,140.87759689826308
2014-12-01,144.93610687090455,145.4017842757085,140.43593774912821
2015-01-01,144.63248873897797,146.01995262540606,133.9981890703503
2015-02-01,148.08748466799508,146.68258420819078,132.627886955774
2015-03-01,147.32943952124654,147.34132964615222,149.4090129833281
2015-04-01,149.57025461968232,147.94700536130912,157.48459953731432
2015-05-01,149.84700772212264,148.4540633504827,168.88610058983411
2015-06-01,150.63734178456812,148.824057829556,162.93739000912225
2015-07-01,150.49998145227067,149.0327010092194,151.8447963430633
2015-08-01,149.9730219203264,149.06975593080475,146.46506720486232
2015-09-01,149.26844443865772,148.93681742228515,145.8823237186007
2015-10-01,149.05193579192283,148.65030894652696,147.04587615341626
2015-11-01,148.65612674125538,148.2400252274071,146.175581385648
2015-12-01,147.1454155516291,147.74117869459874,141.9421187346255
2016-01-01,147.8650299430706,147.19216736018637,134.74645041349706
2016-02-01,146.847092345708,146.6362676622675,134.2323610386252
2016-03-01,146.4404492191299,146.11553622606803,150.0878942366954
2016-04-01,144.72441943834443,145.66490486299512,153.25067436662908
2016-05-01,144.24297508648326,145.31041621879118,163.5136080869051
2016-06-01,144.47918641513448,145.07078507751703,153.66209524099784
2016-07-01,144.43065586464826,144.95568522855046,143.73110098180123
2016-08-01,145.33101802270022,144.9679309058356,143.6741026486049
2016-09-01,145.24440424342012,145.10252814097015,142.00773744282048
2016-10-01,145.0608859979165,145.3494079518527,141.1368632980814
